smiles,predicted_activity
O=C1NC(=O)c2cc(Br)ccc2C1=O,9.219311
Nc1cc(N)cc(C(=O)Nc2ccc3c(c2)C(=O)NC3=O)c1,9.160393
NS(=O)(=O)c1cccc2cc(C(=O)O)c(O)cc12,8.791513
O=C1NS(=O)(=O)c2cc(Br)ccc21,8.72198
O=C(Nc1cccc2c1C(=O)NC2=O)c1ccno1,8.711462
COC(=O)Cc1cc(=O)oc2cc(O)cc(O)c12,8.699428
C[C@@H](NC(=O)c1cc[nH]c(=O)c1)C(=O)NCc1ccccc1,8.69613
C[C@H](NC(=O)c1cc[nH]c(=O)c1)C(=O)NCc1ccccc1,8.69613
O=C(Nc1ccc2c(c1)C(=O)NC2=O)Nc1cnc[nH]1,8.690625
O=C(O)/C=C/C(=O)Nc1cc(CC(=O)O)ccc1O,8.6705065
O=c1[nH]nc(SCc2ccc(F)cc2)c(=O)[nH]1,8.666435
O=C(Nc1ccc2c(c1)C(=O)NC2=O)c1cnccn1,8.662185
O=C(CNC(=O)c1cc[nH]c(=O)c1)OCc1ccccc1,8.636848
NC(=O)c1cc(C(=O)c2ccccc2O)c[nH]c1=O,8.625926
N=c1cc(CC(=O)NCc2ccc(CN)cc2F)cc[nH]1,8.602017
COc1ccc(COC2=CNC(C(=O)O)=C[C@H]2O)cc1,8.594397
COc1ccc(COC2=CNC(C(=O)O)=C[C@@H]2O)cc1,8.594397
O=C(NCc1cccc(F)c1)C(=O)Nc1c[nH]ccc1=O,8.586519
O=C(NCc1cccnc1)c1ccc2[nH]c(=O)c(=O)[nH]c2c1,8.562805
NC(=O)c1cc(C(=O)NCc2ccc(C(=O)O)cc2)c[nH]1,8.553382
O=C(O)/C=C/C(=O)Nc1ccc(C(=O)O)c(O)c1,8.552034
O=S(=O)(Nc1nnc[nH]1)c1ccc(F)cc1F,8.534982
C=CC(=O)NCc1ccc2c(c1)CCS2(=O)=O,8.527679
C=CC(=O)NCc1ccc(F)c(S(N)(=O)=O)c1,8.524594
O=C(N[C@H](C(=O)O)c1ccccc1)c1cc[nH]c(=O)c1,8.51662
O=C(Nc1ccc(F)cc1F)c1cc(=O)[nH]c(=O)[nH]1,8.51618
O=c1[nH]c(=O)c2cc(I)ccc2[nH]1,8.51324
O=S(=O)(O)NC[C@@H](O)COc1ccc2ccccc2c1,8.503551
O=S(=O)(O)NC[C@H](O)COc1ccc2ccccc2c1,8.503551
O=c1[nH]c(=O)c2c(I)cccc2[nH]1,8.499875
O=S(=O)(O)[C@H](O)c1ccc2cccc(O)c2n1,8.492791
O=S(=O)(O)[C@@H](O)c1ccc2cccc(O)c2n1,8.492791
O=c1[nH]c(O)c(Cc2ccc3c(c2)OCO3)c(=O)[nH]1,8.482896
O=C(O)/C=C\C(=O)Nc1ccc(OCC(=O)O)cc1,8.476163
Cc1cnc(C(=O)NCc2ccc3[nH]c(=O)[nH]c3c2)cn1,8.475301
NS(=O)(=O)c1ccc(CNC(=O)c2ccoc2)cc1,8.468328
O=C(NCc1ccco1)c1ccc2[nH]c(=O)c(=O)[nH]c2c1,8.4664545
COc1cc(NCc2ccc(S(N)(=O)=O)cc2)ncn1,8.462511
CC(=O)c1ccc(Cc2c(O)[nH]c(=O)[nH]c2=O)cc1,8.461643
O=C(O)c1cc(C(=O)O)c2cccc(S(=O)(=O)O)c2n1,8.457613
O=C(O)CNS(=O)(=O)c1ccc(OC(F)(F)F)cc1,8.456694
O=C(NCc1ccccc1)c1cnc2nc(O)[nH]c(=O)c2c1,8.452339
NS(=O)(=O)c1ccc(CNC(=O)c2ccco2)cc1,8.441767
CCc1ccc2c(c1)/C(=C1/NC(=S)NC1=O)C(=O)N2,8.440499
O=C1NC(=O)c2cc(NC(=O)[C@@H]3CCCO3)ccc21,8.438532
O=C1NC(=O)c2cc(NC(=O)[C@H]3CCCO3)ccc21,8.438532
Cc1ccc(NC(=O)C(=O)O)c2c(=O)cc(C(=O)O)[nH]c12,8.431964
NC1=NC(=O)[C@@](Cl)(Cc2ccc(C(=O)O)cc2)C(O)=N1,8.431308
COC(=O)c1ccc(CNC(=O)/C=C\C(=O)O)cc1,8.430038
NNS(=O)(=O)c1cccc(OC(F)(F)F)c1,8.427685
CNC(=O)c1ccccc1NC(=O)c1cc[nH]c(=O)c1,8.423774
C[C@H](OC(=O)c1cc(=O)c2ccccc2o1)C(N)=O,8.418623
C[C@@H](OC(=O)c1cc(=O)c2ccccc2o1)C(N)=O,8.418623
NC(=O)c1c[nH]nc1NCc1ccc2c(c1)OCO2,8.416719
CC(Nc1ccc(F)cc1)=C1C(=O)NC(=O)NC1=O,8.41259
O=C(O)[C@H](O)[C@](O)(c1ccccc1)C(F)(F)F,8.410454
O=C(O)[C@@H](O)[C@](O)(c1ccccc1)C(F)(F)F,8.410454
O=C(O)[C@@H](O)[C@@](O)(c1ccccc1)C(F)(F)F,8.410454
O=C(O)[C@H](O)[C@@](O)(c1ccccc1)C(F)(F)F,8.410454
NC(=O)CNC(=O)Cc1cccc(Br)c1,8.408678
C[C@H](NS(=O)(=O)c1ccc2ccccc2c1)C(N)=O,8.406796
C[C@@H](NS(=O)(=O)c1ccc2ccccc2c1)C(N)=O,8.406796
O=S(=O)(C[C@@H](O)CO)c1ccc2ccccc2c1,8.404912
O=S(=O)(C[C@H](O)CO)c1ccc2ccccc2c1,8.404912
c1ccc([SnH2]c2ccccc2)cc1,8.403234
C/C(NCc1cccnc1)=C1/C(=O)N=C(O)N=C1O,8.397551
CCOc1ccc(Cc2c(O)[nH]c(=O)[nH]c2=O)cc1,8.390941
Cc1nnsc1C(=O)NCc1ccc2[nH]c(=O)[nH]c2c1,8.388895
O=C(O)/C=C/C(=O)Nc1ccc(O)c(C(=O)O)c1,8.387976
O=C(O)/C=C\C(=O)Nc1ccc(O)c(C(=O)O)c1,8.387976
NCc1ccc(CNC(=O)c2ccc(C(N)=O)[nH]2)cc1,8.386257
O=C1NCS(=O)(=O)c2cc(Br)ccc21,8.383621
NS(=O)(=O)c1cc(C(=O)O)ccc1Br,8.381036
O=C(NCc1ccncc1)c1ccc2[nH]c(=O)c(=O)[nH]c2c1,8.379823
O=c1[nH]c(=O)c2ccc(I)cc2[nH]1,8.379815
NNS(=O)(=O)c1ccc(OC(F)(F)F)cc1,8.379435
O=C(NCc1ccoc1)c1cnc2nc(O)[nH]c(=O)c2c1,8.377095
COC(=O)c1ccc(NC(=O)/C=C/C(=O)O)cc1O,8.377047
NC(=O)Nc1ccc(CNC(=O)c2cnccn2)cc1,8.371781
O=C1O[C@H](c2c(O)[nH]c(=O)[nH]c2=O)c2ccccc21,8.369968
O=C1O[C@@H](c2c(O)[nH]c(=O)[nH]c2=O)c2ccccc21,8.369968
NS(=O)(=O)c1cc(C(=O)O)cc2c1CCCC2,8.367829
O=C(NCc1ccccc1)C(=O)Nc1c[nH]ccc1=O,8.36034
Cc1cc(C(=O)NCc2ccc(S(N)(=O)=O)cc2)no1,8.360234
CCc1ccc(NS(=O)(=O)c2cnc(O)[nH]c2=O)cc1,8.35765
O=C(NCc1ccc2[nH]c(=O)[nH]c2c1)c1cnccn1,8.356316
Nc1nc(SCC(=O)c2ccc(O)cc2O)n[nH]1,8.354479
O=c1ccc(CNS(=O)(=O)Cc2ccccc2)c[nH]1,8.350933
Cc1n[nH]c(NCc2ccc3c(c2)OCO3)nc1=O,8.347146
