smiles,predicted_activity
Cc1ccc(NS(=O)(=O)c2cnc(O)[nH]c2=O)c(C)c1,8.346878
NS(=O)(=O)c1cc2c3c(cccc3c1)C(=O)NC2=O,8.346759
O=c1[nH]cc(S(=O)(=O)Nc2cccc(F)c2)c(=O)[nH]1,8.339877
Cc1n[nH]c(Nc2ccc(O)c(C(=O)O)c2)nc1=O,8.338485
Nc1ccc(S(=O)(=O)c2ccc(N)c(N)c2)cc1N,8.337329
CC(=O)Oc1cccc(C(=O)Nc2c[nH]c(=O)[nH]c2=O)c1,8.336084
C[C@@H](O)CNC(=O)C(=O)Nc1cccc2c(O)cccc12,8.334135
O=C(O)CNS(=O)(=O)c1cccc2cccnc12,8.332215
CC(=O)Nc1ccc(S(=O)(=O)NCC(=O)O)c(F)c1,8.331159
Cc1ccccc1NS(=O)(=O)c1cnc(O)[nH]c1=O,8.325493
O=C(NCc1nc(-c2cc[nH]c(=O)c2)no1)c1ccco1,8.324762
