smiles,predicted_activity
C[C@H](NS(=O)(=O)c1c(F)cccc1F)C(=O)O,9.105256
CC(=O)NCCNC(=O)c1coc(Br)c1,9.105238
CC(=O)c1ccc(Cc2c(O)[nH]c(=O)[nH]c2=O)cc1,9.098735
Cc1nc(CCNC(=O)c2cccc(OCCN)c2)no1,9.094005
CC(C)CNC(=O)c1ccc2[nH]c(=O)c(=O)[nH]c2c1,9.090696
CC(=O)OCc1c(C(C)=O)[n+]([O-])c2ccccc2[n+]1[O-],9.084993
COCC(=O)NCCNC(=O)c1ccc(C)c(F)c1,9.083232
O=C(CNC(=O)c1ccc(F)cc1)N[C@@H]1CC[C@H]1O,9.0811615
O=C(NCCNC(=O)C(F)(F)F)c1ccncc1,9.07883
O=C(NCCOCC(F)(F)F)c1ccc(CO)nc1,9.068849
CCOc1ccc(S(=O)(=O)N[C@@H](C)C(N)=O)cc1C,9.067684
CCOc1ccc(S(=O)(=O)N[C@H](C)C(N)=O)cc1C,9.067684
C[C@@]1(NS(=O)(=O)c2ccc(C(=O)O)cc2)CCOC1,9.0608635
C[C@]1(NS(=O)(=O)c2ccc(C(=O)O)cc2)CCOC1,9.0608635
C[C@@]1(NS(=O)(=O)c2cccs2)CCS(=O)(=O)C1,9.059185
C[C@]1(NS(=O)(=O)c2cccs2)CCS(=O)(=O)C1,9.059185
C[C@@H]1CCC[C@H](CNC(=O)c2ccc3c(c2)B(O)OC3)O1,9.058448
C[C@@H]1CCC[C@@H](CNC(=O)c2ccc3c(c2)B(O)OC3)O1,9.058448
C[C@H]1CCC[C@@H](CNC(=O)c2ccc3c(c2)B(O)OC3)O1,9.058448
C[C@H]1CCC[C@H](CNC(=O)c2ccc3c(c2)B(O)OC3)O1,9.058448
CC(C)CCNC(=O)c1ccc2[nH]c(=O)c(=O)[nH]c2c1,9.056674
COC(=O)c1cccc(C(=O)NCCS(C)(=O)=O)c1,9.055261
CCCc1ccc(C(=O)NCCS(N)(=O)=O)cc1,9.052443
COCCOc1ccnc(NC(=O)N[C@@]2(C)CCOC2)n1,9.039316
COCCOc1ccnc(NC(=O)N[C@]2(C)CCOC2)n1,9.039316
