smiles,predicted_activity
CC(=O)c1cc(OCC(=O)O)ccc1OCC(=O)O,8.402394
O=C1NC(=S)NC(=O)C1=C1OC(=O)c2ccccc21,8.399272
O=C(O)c1ccc(C(=O)O)c(C(=O)O)c1C(=O)O,8.392054
C[C@@H](OC(=O)Cc1ccc(F)cc1)C(=O)NC(N)=O,8.388113
C[C@H](OC(=O)Cc1ccc(F)cc1)C(=O)NC(N)=O,8.388113
C=CC(=O)NCc1ccc2c(c1)CCS2(=O)=O,8.384729
Nc1nccnc1C(=O)NCc1ccc2c(c1)OCO2,8.382989
NC(=O)c1ccc(C(=O)NCc2ccc3c(c2)OCO3)nc1,8.377413
NCc1ccc(C(=O)NCCc2nc(N)cc(O)n2)cc1,8.372455
COC(=O)[C@@H](NCc1ccc(F)c(F)c1)[C@@H](C)O,8.371262
COC(=O)[C@@H](NCc1ccc(F)c(F)c1)[C@H](C)O,8.371262
COC(=O)[C@H](NCc1ccc(F)c(F)c1)[C@@H](C)O,8.371262
COC(=O)[C@H](NCc1ccc(F)c(F)c1)[C@H](C)O,8.371262
NC(=O)Nc1ccc(CNC(=O)c2cnccn2)cc1,8.369586
COc1ccc(CNC(C)=C2C(=O)NC(=O)NC2=O)cc1,8.366279
CCOc1ccc(C(=O)Nc2c[nH]c(=O)[nH]c2=O)cc1,8.3624
O=C(NCc1ccccc1)C(=O)Nc1c[nH]ccc1=O,8.360839
O=c1[nH]/c(=C\c2ccccc2)c(=O)[nH]/c1=C\c1ccccc1,8.359919
CCOc1cc2c(cc1/C=C1/NC(=O)NC1=O)OCO2,8.358921
NC(=O)c1ccc(CNC(=O)c2nccnc2N)cc1,8.354836
O=C(Nc1cccc(CO)c1)c1cc(=O)[nH]c(O)n1,8.353749
CCOC(=O)C(=O)CC(=O)c1c(O)cc(C)oc1=O,8.353401
O=C(O)c1cccc(CNC(=O)c2cccc[n+]2[O-])c1,8.352481
Cc1cc(=O)cc(C(=O)N[C@@H](C(=O)O)C(C)C)o1,8.347534
C[C@@H](NC(=O)c1cc2c(cc1O)CCCC2)C(N)=O,8.344471
C[C@H](NC(=O)c1cc2c(cc1O)CCCC2)C(N)=O,8.344471
Cc1ccc(C(=O)N[C@@H](C(N)=O)c2ccccc2)c(=O)[nH]1,8.341089
